rank,finalWorth,category,personName,age,country,gender,source,status
591,4600,Food & Beverage,Issad Rebrab & family,79,Algeria,M,Food,D
591,4600,Logistics,Fred Smith,78,United States,M,FedEx,D
591,4600,Finance & Investments,Barry Sternlicht,62,United States,M,Private equity,U
591,4600,Manufacturing,Maximilian Viessmann,34,Germany,M,"Heating, cooling equipment",D
591,4600,Food & Beverage,Russ Weiner,52,United States,M,Energy drinks,U
591,4600,Healthcare,Xue Min,66,China,M,Healthcare,N
611,4500,Food & Beverage,Juan Domingo Beckmann Legorreta & family,55,Mexico,M,Tequila,U
611,4500,Technology,Dietmar Hopp & family,82,Germany,M,Software,D
611,4500,Technology,Jiang Bin,56,China,M,Acoustic components,D
611,4500,Technology,Joseph Liemandt,54,United States,M,Software,U
